timestamp,red,ir
1766327384.9238243,123093,116821
1766327384.9347754,123093,116821
1766327384.9457276,122813,116664
1766327384.9566786,123121,116869
1766327384.9676552,123121,116869
1766327384.978613,123121,116869
1766327384.9895658,122872,116683
1766327385.0005176,123180,116896
1766327385.011483,123180,116896
1766327385.0224464,122932,116729
1766327385.0334063,123094,116848
1766327385.0443587,123094,116848
1766327385.0553105,123094,116848
1766327385.0662873,122988,116712
1766327385.0772426,122823,116723
1766327385.088195,122823,116723
1766327385.0991461,122823,116723
1766327385.1100984,123021,116727
1766327385.1210568,122599,116639
1766327385.1320097,122599,116639
1766327385.1429617,123034,116762
1766327385.1539135,122591,116625
1766327385.164905,122591,116625
1766327385.1758626,122591,116625
1766327385.1868145,123077,116743
1766327385.1978254,122579,116634
1766327385.2087822,122579,116634
1766327385.2197473,122579,116634
1766327385.2307022,123068,116724
1766327385.2416537,122635,116628
1766327385.252606,122635,116628
1766327385.2635589,123073,116733
1766327385.2745183,122740,116690
1766327385.2854705,122740,116690
1766327385.296421,122740,116690
1766327385.3073728,122814,116623
1766327385.3183331,122800,116711
1766327385.3292866,122800,116711
1766327385.340238,122549,116494
1766327385.3512151,122791,116698
1766327385.3623276,122791,116698
1766327385.3732913,122791,116698
1766327385.3842466,122488,116491
1766327385.3952868,122781,116701
1766327385.4063523,122781,116701
1766327385.4173486,122781,116701
1766327385.428307,122465,116486
1766327385.439261,122831,116751
1766327385.4502146,122831,116751
1766327385.4611678,122502,116488
1766327385.4721277,122875,116740
1766327385.4830801,122875,116740
1766327385.494032,122875,116740
1766327385.504983,122571,116531
1766327385.51594,122906,116751
1766327385.5268931,122906,116751
1766327385.5378437,122906,116751
1766327385.5487964,122981,116736
1766327385.559747,122981,116736
1766327385.570729,122981,116736
1766327385.581693,122626,116546
1766327385.592837,123021,116785
1766327385.603853,123021,116785
1766327385.6148236,123021,116785
1766327385.6258645,122629,116539
1766327385.6368713,123068,116822
1766327385.647848,123068,116822
1766327385.6588051,122657,116556
1766327385.6697712,123084,116818
1766327385.6807265,123084,116818
1766327385.6916788,123084,116818
1766327385.702633,122711,116570
1766327385.7135923,123126,116812
1766327385.7245631,123126,116812
1766327385.7355158,123126,116812
1766327385.7464721,122727,116586
1766327385.7574296,123110,116774
1766327385.768431,123110,116774
1766327385.7794738,122820,116593
1766327385.7904272,122897,116707
1766327385.8013783,122897,116707
1766327385.8123298,122897,116707
1766327385.8232915,122866,116633
1766327385.834245,122669,116618
1766327385.845198,122669,116618
1766327385.8561616,122669,116664
1766327385.8671272,122547,116560
1766327385.8780832,122547,116560
1766327385.8890445,122547,116560
1766327385.8999972,122918,116641
1766327385.9109492,122537,116564
1766327385.9219074,122537,116564
1766327385.9328642,122537,116564
