t,red,ir
1766854698.017508,241408,225100
1766854698.027518,241711,225302
1766854698.0375073,241711,225302
1766854698.04751,241711,225302
1766854698.0575283,241605,225212
1766854698.0675077,241797,225325
1766854698.0775063,241797,225325
1766854698.0875056,241797,225325
1766854698.097649,241744,225225
1766854698.1075366,241843,225324
1766854698.117525,241843,225324
1766854698.1275263,241843,225324
1766854698.1375077,241843,225324
1766854698.1475215,241858,225328
1766854698.1575153,241858,225328
1766854698.1675096,241858,225328
1766854698.1775079,241847,225308
1766854698.1875067,241847,225308
1766854698.1975074,241847,225308
1766854698.2075057,241847,225139
1766854698.217519,241877,225321
1766854698.2275238,241877,225321
1766854698.2375247,241877,225321
1766854698.2475097,241835,225187
1766854698.2575233,241931,225331
1766854698.267516,241931,225331
1766854698.2775064,241931,225331
1766854698.287505,241862,225185
1766854698.2975051,241959,225343
1766854698.3075044,241959,225343
1766854698.317505,241959,225343
1766854698.3275042,241893,225193
1766854698.337504,241982,225345
1766854698.3475273,241982,225345
1766854698.3575072,241982,225345
1766854698.3675203,241928,225198
1766854698.3775063,242023,225341
1766854698.3875077,242023,225341
1766854698.3975046,242023,225341
1766854698.407504,241957,225202
1766854698.4175043,242077,225349
1766854698.4275043,242077,225349
1766854698.4375045,242077,225349
1766854698.447521,241961,225210
1766854698.4575102,242053,225345
1766854698.4675238,242053,225345
1766854698.4775078,242053,225345
1766854698.4875233,241975,225196
1766854698.4975066,241865,225276
1766854698.5075054,241865,225276
1766854698.517504,241865,225276
1766854698.5275042,241955,225171
1766854698.5375218,241571,225160
1766854698.5475333,241571,225160
1766854698.5575225,241571,225160
1766854698.5675075,241734,225087
1766854698.577505,241512,225148
1766854698.5875041,241512,225148
1766854698.5975156,241512,225148
1766854698.6075072,241426,224986
1766854698.6175263,241590,225163
1766854698.6275227,241590,225163
1766854698.6375208,241590,225163
1766854698.6475418,241394,224965
1766854698.6575289,241707,225212
1766854698.667494,241707,225212
1766854698.6775265,241707,225212
1766854698.6875103,241487,224999
1766854698.6975055,241791,225240
1766854698.707635,241791,225240
1766854698.7175066,241791,225240
1766854698.7275062,241570,225031
1766854698.737505,241833,225250
1766854698.7475052,241833,225250
1766854698.7575088,241833,225250
1766854698.7675066,241657,225047
1766854698.7775059,241837,225244
1766854698.787525,241837,225244
1766854698.7975125,241837,225244
1766854698.8075082,241683,225061
1766854698.8175051,241845,225238
1766854698.8275206,241845,225238
1766854698.8375132,241845,225238
1766854698.847507,241717,225073
1766854698.8575056,241881,225255
1766854698.8675036,241881,225255
1766854698.8775053,241881,225255
1766854698.8875086,241749,225081
1766854698.8975077,241949,225253
1766854698.907505,241949,225253
1766854698.917504,241949,225253
1766854698.9275045,241769,225086
1766854698.9375043,241996,225260
1766854698.9475064,241996,225260
1766854698.9575226,241996,225260
1766854698.9675221,241810,225084
1766854698.9775155,242055,225268
1766854698.9875212,242055,225268
1766854698.9975226,242055,225268
1766854699.007527,241853,225105
1766854699.0175145,242070,225286
1766854699.0275064,242070,225286
1766854699.037506,242070,225286
1766854699.0475154,241862,225108
1766854699.057511,242095,225290
1766854699.0675035,242095,225290
1766854699.0775259,242095,225290
1766854699.0875092,241886,225100
1766854699.0975084,242136,225295
1766854699.1075068,242136,225295
1766854699.1175048,242136,225295
1766854699.127522,241934,225126
1766854699.137507,242039,225249
1766854699.1475186,242039,225249
1766854699.1575058,242039,225249
1766854699.1675093,241970,225125
1766854699.1775064,241666,225143
1766854699.1875064,241666,225143
1766854699.1974905,241666,225143
1766854699.2083519,241960,225111
1766854699.217525,241381,225077
1766854699.2275176,241381,225077
1766854699.2375078,241381,225077
1766854699.2474961,241773,225042
1766854699.257667,241408,225100
1766854699.2675097,241408,225100
1766854699.2775216,241408,225100
1766854699.28751,241443,224923
